responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
482,3,2,4,2,1,1,3,3,3,3,2,,,,,7
483,2,2,4,2,1,6,3,3,3,1,3,,,,8,
485,2,1,2,3,1,2,3,3,2,2,2,,,5,7,7
486,5,2,3,3,2,3,3,1,2,2,2,,8,7,7,7
487,5,2,4,4,1,1,3,3,2,1,3,,,7,7,
488,4,2,3,2,1,15,1,1,1,1,1,8,6,7,10,7
489,3,2,4,2,1,8,3,3,1,2,1,,,6,3,9
490,3,2,3,2,1,6,1,1,2,2,2,8,7,7,10,8
491,2,2,5,8,1,25,1,2,1,2,1,9,6,5,6,8
492,2,2,3,2,2,10,2,2,2,1,3,5,5,5,10,
493,3,2,4,3,2,3,3,1,1,1,1,,9,9,10,9
494,6,2,4,2,1,20,1,1,1,1,1,7,4,8,10,9
497,5,2,3,2,1,4,,1,,,,,5,,,
498,6,2,4,2,1,12,1,2,1,1,1,9,6,8,9,8
500,5,2,4,8,2,4,2,1,1,3,1,5,5,8,,9
502,3,2,4,8,2,3,4,1,1,3,3,,10,10,,
503,2,2,3,4,2,2,,1,1,,,,5,5,,
504,5,2,2,4,2,8,4,1,2,2,1,,8,6,6,9
506,5,2,4,2,1,3,3,1,1,2,1,,5,6,8,8
507,4,2,4,5,2,12,1,2,1,1,2,8,7,8,8,8
508,4,2,6,8,3,7,3,1,3,2,3,,9,,10,
510,4,2,3,8,2,4,3,3,2,2,3,,,4,6,
511,6,2,4,3,2,1,3,1,3,1,3,,5,,10,
512,2,2,3,1,1,4,,,1,,1,,,6,,4
513,3,1,5,1,1,25,,1,1,1,1,,8,8,8,1
514,4,2,4,8,2,8,3,3,1,2,1,,,4,4,4
515,4,2,2,3,2,15,1,1,1,1,1,7,7,4,7,9
517,3,2,4,2,1,5,1,2,2,2,2,8,6,6,9,7
518,3,2,4,2,2,10,1,3,2,2,2,10,,10,10,10
520,2,2,4,8,1,15,,,2,2,2,,,7,8,7
521,4,2,2,3,2,9,2,3,3,1,1,7,,,9,9
522,5,2,3,7,2,10,,1,1,,,,3,6,,
523,5,2,4,3,2,3,3,3,2,3,1,,,7,,7
524,6,2,2,2,1,10,3,1,1,2,2,,9,8,4,7
526,4,2,4,2,1,10,1,3,2,1,1,7,,5,7,6
527,6,1,4,4,2,4,3,1,1,1,1,,9,8,8,9
528,6,2,5,4,2,5,,1,1,1,,,8,5,8,
529,2,2,3,1,2,3,1,1,2,1,1,7,6,4,9,8
530,6,2,3,2,2,2,4,3,3,3,3,,,,,
531,3,2,4,3,2,10,2,2,1,1,2,7,5,9,8,5
532,5,2,3,4,2,8,1,1,1,1,1,9,6,4,9,7
534,6,2,2,5,2,2,,,,1,,,,,8,
537,4,2,3,3,2,4,3,3,3,1,2,,,,10,6
538,6,2,4,8,2,6,3,1,2,4,1,,4,5,,9
539,2,2,3,2,2,6,,,,,1,,,,,9
540,4,2,2,2,2,10,1,3,1,1,2,10,,8,10,10
541,4,2,4,4,2,4,1,1,1,3,1,9,8,6,,9
542,2,2,4,3,2,20,3,2,1,1,1,,3,8,8,8
544,4,2,4,8,2,2,3,3,3,3,2,,,,,10
546,6,2,3,3,2,20,3,1,1,1,1,,7,7,6,8
547,3,2,5,4,2,15,2,1,1,1,1,4,8,7,9,9
548,2,2,3,3,2,2,,,,1,,,,,8,
